from_stop_id,to_stop_id,weight_seconds,type
1.418,1.417,88,SW
1.418,1.419,92,SW
1.418,E.1041801,60,PW
1.418,E.41801,60,PW
1.419,1.418,84,SW
1.419,1.420,87,SW
1.419,E.1041901,60,PW
1.419,E.41901,60,PW
1.420,1.419,85,SW
1.420,1.421,140,SW
1.420,E.1042011,60,PW
1.420,E.42001,60,PW
1.420,E.42011,60,PW
1.421,1.420,144,SW
1.421,1.422,104,SW
1.421,E.42101,60,PW
1.421,E.42102,60,PW
1.422,1.421,100,SW
1.422,1.423,99,SW
1.422,E.1042201,60,PW
1.422,E.42201,60,PW
1.423,1.422,91,SW
1.423,1.424,82,SW
1.423,E.1042301,60,PW
1.423,E.1042311,60,PW
1.423,E.42301,60,PW
1.423,E.42311,60,PW
1.424,1.127,90,TF
1.424,1.423,81,SW
1.424,1.425,94,SW
1.424,E.42401,60,PW
1.424,E.42411,60,PW
1.425,1.213,60,TF
1.425,1.327,300,TF
1.425,1.424,98,SW
1.425,1.426,91,SW
1.425,E.42501,60,PW
1.426,1.425,96,SW
1.426,1.427,105,SW
1.426,E.1042601,60,PW
1.426,E.42601,60,PW
1.426,E.42602,60,PW
1.427,1.426,101,SW
1.427,1.428,108,SW
1.427,1.522,45,TF
1.427,E.42701,60,PW
1.428,1.427,108,SW
1.428,1.429,93,SW
1.428,E.1042801,60,PW
1.428,E.42801,60,PW
1.428,E.42802,60,PW
1.429,1.428,98,SW
1.429,1.430,105,SW
1.429,E.1042901,60,PW
1.429,E.42901,60,PW
1.429,E.42902,60,PW
1.429,E.42903,60,PW
1.430,1.429,111,SW
1.430,1.431,102,SW
1.430,E.1043001,60,PW
1.430,E.43001,60,PW
1.430,E.43012,60,PW
1.431,1.430,124,SW
1.431,1.432,192,SW
1.431,1.528,150,TF
1.431,E.1043102,60,PW
1.431,E.43101,60,PW
1.431,E.43102,60,PW
1.432,1.431,194,SW
1.432,1.433,109,SW
1.432,E.1043201,60,PW
1.432,E.43201,60,PW
1.432,E.43202,60,PW
1.432,E.43211,60,PW
1.433,1.432,106,SW
1.433,1.434,92,SW
1.433,E.1043301,60,PW
1.433,E.43301,60,PW
1.433,E.43311,60,PW
1.434,1.339,120,TF
1.434,1.433,91,SW
1.434,1.1136,120,TF
1.434,E.43401,60,PW
1.434,E.43402,60,PW
1.509,1.510,104,SW
1.509,E.1050901,60,PW
1.509,E.50901,60,PW
1.510,1.509,103,SW
1.510,1.511,107,SW
1.510,E.1051001,60,PW
1.510,E.51001,60,PW
1.510,E.51002,60,PW
1.511,1.510,98,SW
1.511,1.512,92,SW
1.511,E.1051102,60,PW
1.511,E.51101,60,PW
1.511,E.51102,60,PW
1.512,1.511,93,SW
1.512,1.513,98,SW
1.512,E.1051201,60,PW
1.512,E.51201,60,PW
1.513,1.512,103,SW
1.513,1.514,102,SW
1.513,E.1051311,60,PW
1.513,E.51301,60,PW
1.513,E.51311,60,PW
1.514,1.513,104,SW
1.514,1.555,100,SW
1.514,E.1051401,60,PW
1.514,E.51401,60,PW
1.514,E.51402,60,PW
1.514,E.51411,60,PW
1.555,1.514,104,SW
1.555,1.515,65,SW
1.555,E.105501,60,PW
1.555,E.55501,60,PW
1.555,E.55502,60,PW
1.515,1.555,66,SW
1.515,1.516,90,SW
1.515,1.9160,120,TF
1.515,1.9161,120,TF
1.515,E.51501,60,PW
1.515,E.51502,60,PW
1.515,E.51511,60,PW
1.516,1.515,88,SW
1.516,1.517,91,SW
1.516,E.1051611,60,PW
1.516,E.51601,60,PW
1.516,E.51602,60,PW
1.516,E.51611,60,PW
1.517,1.120,210,TF
1.517,1.516,85,SW
1.517,1.518,101,SW
1.517,E.51701,60,PW
1.517,E.51702,60,PW
1.518,1.319,45,TF
1.518,1.517,94,SW
1.518,1.519,100,SW
1.518,E.1051802,60,PW
1.518,E.51801,60,PW
1.518,E.51802,60,PW
1.519,1.518,96,SW
1.519,1.520,90,SW
1.519,E.1051901,60,PW
1.519,E.51901,60,PW
1.519,E.51911,60,PW
1.520,1.519,90,SW
1.520,1.521,98,SW
1.520,E.1052012,60,PW
1.520,E.52001,60,PW
1.520,E.52012,60,PW
1.521,1.328,120,TF
1.521,1.520,107,SW
1.521,1.522,111,SW
1.521,E.1052101,60,PW
1.521,E.52101,60,PW
1.521,E.52111,60,PW
1.522,1.427,45,TF
1.522,1.521,101,SW
1.522,1.523,99,SW
1.522,E.52201,60,PW
1.522,E.52211,60,PW
1.522,E.52212,60,PW
1.523,1.216,45,TF
1.523,1.522,108,SW
1.523,1.524,107,SW
1.523,E.1052301,60,PW
1.523,E.52301,60,PW
1.523,E.52311,60,PW
1.523,E.52312,60,PW
1.524,1.523,110,SW
1.524,1.525,99,SW
1.524,E.1052401,60,PW
1.524,E.52401,60,PW
1.524,E.52411,60,PW
1.525,1.524,88,SW
1.525,1.526,119,SW
1.525,E.1052501,60,PW
1.525,E.52501,60,PW
1.525,E.52511,60,PW
1.526,1.133,45,TF
1.526,1.525,129,SW
1.526,1.527,94,SW
1.526,1.9300,90,TF
1.526,1.9301,90,TF
1.526,E.1052611,60,PW
1.526,E.52611,60,PW
1.527,1.526,120,SW
1.527,1.528,79,SW
1.527,E.1052701,60,PW
1.527,E.52701,60,PW
1.527,E.52711,60,PW
1.528,1.431,150,TF
1.528,1.527,81,SW
1.528,1.529,85,SW
1.528,E.1052801,60,PW
1.528,E.52801,60,PW
1.528,E.52811,60,PW
1.528,E.52812,60,PW
1.529,1.528,95,SW
1.529,1.530,95,SW
1.529,E.1052903,60,PW
1.529,E.52901,60,PW
1.529,E.52902,60,PW
1.529,E.52903,60,PW
1.529,E.52911,60,PW
1.529,E.52912,60,PW
1.530,1.529,99,SW
1.530,1.531,103,SW
